화물>자가용,특수>관용,date,화물>계,총계>자가용,승합>자가용,특수>계,승용>영업용,화물>관용,특수>영업용,시군구,총계>관용,총계>영업용,총계>계,시도명,승합>관용,화물>영업용,승합>계,승용>관용,승용>자가용,승용>계,특수>자가용,승합>영업용
8248,20,202608,9950,71595,1760,351,2288,101,143,성남시 중원구,395,4340,76330,경기,54,1601,2122,220,61399,63907,188,308
19739,27,202608,23071,216793,4023,1196,5461,164,538,수원시 권선구,449,11052,228294,경기,156,3168,6064,102,192400,197963,631,1885
6486,2,202608,7951,154288,1785,388,2218,63,123,수원시 영통구,427,3912,158627,경기,103,1402,2057,259,145754,148231,263,169
7982,18,202608,10200,108856,2368,405,1082,98,122,수원시 장안구,565,3403,112824,경기,134,2120,2581,315,98241,99638,265,79
6118,16,202608,8249,82500,2015,279,14271,94,100,수원시 팔달구,400,16499,99399,경기,97,2037,2203,193,74204,88668,163,91
36614,24,202608,43152,272418,5589,1305,2367,155,515,시흥시,466,9726,282610,경기,102,6383,6152,185,229449,232001,766,461
22750,13,202608,27013,166345,4310,802,19008,226,313,안산시 단원구,596,24491,191432,경기,132,4037,5575,225,138809,158042,476,1133
17698,3,202608,20506,143453,3348,826,1974,35,345,안산시 상록구,160,5742,149355,경기,42,2773,4040,80,121929,123983,478,650
19572,16,202608,22993,122608,2759,1303,744,135,302,안성시,421,4922,127951,경기,89,3286,3438,181,99292,100217,985,590
9680,10,202608,13284,132436,1780,585,2077,130,164,안양시 동안구,416,6242,139094,경기,104,3474,2411,172,120565,122814,411,527
8877,0,202608,10543,88198,1876,346,1406,42,130,안양시 만안구,166,4098,92462,경기,29,1624,2843,95,77229,78730,216,938
20130,13,202608,23414,147852,3388,826,769,176,263,양주시,480,4722,153054,경기,90,3108,4060,201,123784,124754,550,582
12071,11,202608,13245,68751,1488,404,442,263,79,양평군,607,1943,71301,경기,90,911,2089,243,54878,55563,314,511
14275,9,202608,20547,70916,1840,722,356,204,359,여주시,480,7429,78825,경기,84,6068,2570,183,54447,54986,354,646
6549,8,202608,10823,26779,660,647,2035,152,488,연천군,324,6932,34035,경기,67,4122,1014,97,19419,21551,151,287
10738,10,202608,13593,129872,2492,554,1411,66,187,오산시,240,4952,135064,경기,58,2789,3115,106,116285,117802,357,565
11357,14,202608,14956,201856,2933,922,4107,46,378,용인시 기흥구,150,8919,210925,경기,39,3553,3853,51,187036,191194,530,881
4639,0,202608,5999,149888,1535,265,827,21,44,용인시 수지구,59,2282,152229,경기,14,1339,1621,24,143493,144344,221,72
21776,19,202608,26768,158242,3463,1303,1709,231,487,용인시 처인구,834,8610,167686,경기,137,4761,5253,447,132206,134362,797,1653
