no,ranking,book_name,author_name,publisher,pub_year,isbn13,addition_symbol,vol,class_no,class_nm,loan_count,cover_url,detail_url
109,109,슈뻘맨의 숨은 과학 찾기 :엉뚱 도전 속에 숨은 과학 상식,슈뻘맨 원작 ;류수형 그림,미래엔,2023,9791168417786,77400,3,400,자연과학 > 자연과학 > 자연과학,29609,https://image.aladin.co.kr/product/33334/30/cover/k722938698_1.jpg,https://data4library.kr/bookV?seq=6825216
110,110,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,9791173471780,77400,13,400,자연과학 > 자연과학 > 자연과학,29526,https://image.aladin.co.kr/product/36019/61/cover200/k872037826_1.jpg,https://data4library.kr/bookV?seq=7026796
111,111,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,9791173119262,77490,14,472,자연과학 > 생물과학 > 생물학,29440,https://image.aladin.co.kr/product/35393/79/cover200/k312035918_2.jpg,https://data4library.kr/bookV?seq=6990294
112,112,종의 기원 =정유정 장편소설 /The origin of species ,지은이: 정유정,은행나무,2016,9788956609959,03810,,813.7,문학 > 한국문학 > 소설,29405,http://image.aladin.co.kr/product/7492/9/cover/8956609950_2.jpg,https://data4library.kr/bookV?seq=3151708
113,113,"첫 여름, 완주 :김금희 장편소설 ",저자 : 김금희,무제,2025,9791197221989,03810,,813.7,문학 > 한국문학 > 소설,29390,https://image.aladin.co.kr/product/36275/58/cover200/k692038832_1.jpg,https://data4library.kr/bookV?seq=7051689
114,114,흰 :한강 소설 ,지은이: 한강,문학동네,2018,9788954651134,03810,,813.62,문학 > 한국문학 > 소설,29311,http://image.aladin.co.kr/product/14322/3/cover/8954651135_1.jpg,https://data4library.kr/bookV?seq=3746119
115,114,똥볶이 할멈 :K-히어로 판타지,글: 강효미 ;그림: 김무연,따끈따끈책방,2021,9791190409148,74810,3,813.7,문학 > 한국문학 > 소설,29311,https://image.aladin.co.kr/product/29321/37/cover/k362837717_1.jpg,https://data4library.kr/bookV?seq=6450284
116,116,(흔한남매) 수수께끼 어드벤처 :수수께끼로 배우는 교과 지식,원작: 흔한남매 ;그림: 도니패밀리,미래엔,2022,9791168414921,77030,2,388,"사회과학 > 풍속, 민속학 > 민간전승",29157,https://image.aladin.co.kr/product/31033/55/cover/k112831415_1.jpg,https://data4library.kr/bookV?seq=6635456
117,117,"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기 ",룰루 밀러 지음 ;정지인 옮김,곰출판,2021,9791189327156,03400,,490.99,자연과학 > 동물학 > 동물학,29139,https://image.aladin.co.kr/product/28465/73/cover/k092835920_1.jpg,https://data4library.kr/bookV?seq=6360937
118,118,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,9791164138425,77490,4,472,자연과학 > 생물과학 > 생물학,29039,https://image.aladin.co.kr/product/27643/74/cover/k052733229_1.jpg,https://data4library.kr/bookV?seq=6063450
119,119,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,9791168411029,77490,6,472,자연과학 > 생물과학 > 생물학,28991,https://image.aladin.co.kr/product/28974/55/cover/k902836928_1.jpg,https://data4library.kr/bookV?seq=6415971
120,120,야옹이 수영 교실 ,신현경 글 ;노예지 그림,인플루엔셜,2023,9791168341180,77810,,813.7,문학 > 한국문학 > 소설,28795,https://image.aladin.co.kr/product/32130/71/cover/k662834301_1.jpg,https://data4library.kr/bookV?seq=6738249
121,121,슈뻘맨의 숨은 과학 찾기 :엉뚱 도전 속에 숨은 과학 상식,슈뻘맨 원작 ;류수형 그림,미래엔,2023,9791168415188,77400,2,400,자연과학 > 자연과학 > 자연과학,28750,https://image.aladin.co.kr/product/32359/59/cover/k332935467_1.jpg,https://data4library.kr/bookV?seq=6754113
122,122,두 사람의 인터내셔널 :김기태 소설 ,지은이: 김기태,문학동네,2024,9788954697941,03810,,813.7,문학 > 한국문학 > 소설,28669,https://image.aladin.co.kr/product/33899/7/cover200/8954697941_1.jpg,https://data4library.kr/bookV?seq=6873522
123,123,(흔한남매) 별난 방탈출 :탈출 미션 스토리북,흔한남매 원작 ;차차 그림,미래엔,2020,9791164137176,77810,1,691,"예술 > 오락, 운동 > 오락",28544,https://image.aladin.co.kr/product/25813/3/cover/k172736336_1.jpg,https://data4library.kr/bookV?seq=5833701
124,124,흔한남매 과학 탐험대,원작: 흔한남매 ;임혜영,김영사,2021,9788934938224,77400,0,400,자연과학 > 자연과학 > 자연과학,28526,https://image.aladin.co.kr/product/33107/58/cover/8934938226_1.jpg,https://data4library.kr/bookV?seq=6809895
125,125,똥볶이 할멈 :K-히어로 판타지,글: 강효미 ;그림: 김무연,따끈따끈책방,2021,9791190409384,74810,5,813.7,문학 > 한국문학 > 소설,28477,https://image.aladin.co.kr/product/31892/15/cover/k862833636_1.jpg,https://data4library.kr/bookV?seq=6712590
126,126,슈뻘맨의 숨은 과학 찾기 :엉뚱 도전 속에 숨은 과학 상식,슈뻘맨 원작 ;류수형 그림,미래엔,2023,9791168418462,77400,4,400,자연과학 > 자연과학 > 자연과학,28403,https://image.aladin.co.kr/product/34121/18/cover200/k102931996_1.jpg,https://data4library.kr/bookV?seq=6890521
127,127,(흔한남매) 별난 방탈출 :탈출 미션 스토리북,흔한남매 원작 ;차차 그림,미래엔,2020,9791168410541,77810,4,691,"예술 > 오락, 운동 > 오락",28392,https://image.aladin.co.kr/product/28533/10/cover/k182835138_1.jpg,https://data4library.kr/bookV?seq=6365433
128,128,세계를 건너 너에게 갈게 :이꽃님 장편소설 ,글쓴이: 이꽃님,문학동네,2018,9788954650212,03810,,813.7,문학 > 한국문학 > 소설,28353,https://bookthumb-phinf.pstatic.net/cover/133/146/13314689.jpg?type=m1&udate=20180330,https://data4library.kr/bookV?seq=3699193
129,129,(흔한남매) 별난 세계 여행,흔한남매 원작 ;정주연 그림,미래엔,2023,9791168416628,74810,2,980.2,역사 > 지리 > 지리,28350,https://image.aladin.co.kr/product/32822/70/cover/k482936806_1.jpg,https://data4library.kr/bookV?seq=6788140
130,130,슈뻘맨의 숨은 과학 찾기 :엉뚱 도전 속에 숨은 과학 상식,슈뻘맨 원작 ;류수형 그림,미래엔,2023,9791168415171,77400,1,400,자연과학 > 자연과학 > 자연과학,28337,https://image.aladin.co.kr/product/31331/11/cover/k812832794_1.jpg,https://data4library.kr/bookV?seq=6657893
131,131,똥볶이 할멈 :K-히어로 판타지,글: 강효미 ;그림: 김무연,따끈따끈책방,2021,9791190409261,74810,4,813.7,문학 > 한국문학 > 소설,28322,https://image.aladin.co.kr/product/30519/98/cover/k282830494_1.jpg,https://data4library.kr/bookV?seq=6595124
132,132,(흔한남매) 안 흔한 일기,흔한남매 원작 ;조병주 그림,미래엔,2020,9791164134649,74810,1,816.7,"문학 > 한국문학 > 일기, 서간, 기행",28282,https://image.aladin.co.kr/product/23331/23/cover/k012637918_1.jpg,https://data4library.kr/bookV?seq=5595543
133,133,놓지 마 과학!,"글·그림: 신태훈,나승훈",위즈덤하우스,2016,9791171712267,77400,19,408,"자연과학 > 자연과학 > 전집, 총서",28277,https://image.aladin.co.kr/product/34155/83/cover200/k032931590_1.jpg,https://data4library.kr/bookV?seq=6892247
134,134,고전이 답했다 :마땅히 살아야 할 삶에 대하여 ,고명환 지음,라곰,2024,9791193939130,03320,,199.1,"철학 > 윤리학, 도덕철학 > 도덕훈, 교훈",28264,https://image.aladin.co.kr/product/34526/60/cover200/k622932853_2.jpg,https://data4library.kr/bookV?seq=6935936
135,135,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9791195794799,74910,1,911,역사 > 아시아(아세아) > 한국,28242,http://image.aladin.co.kr/product/10016/32/cover/k512536564_2.jpg,https://data4library.kr/bookV?seq=3405847
136,136,당연하게도 나는 너를 :이꽃님 장편소설 ,지은이: 이꽃님,우리학교,2023,9791167550972,43810,,813.7,문학 > 한국문학 > 소설,28172,https://image.aladin.co.kr/product/31269/43/cover/k872832466_1.jpg,https://data4library.kr/bookV?seq=6650932
137,137,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,9791168414075,77490,8,472,자연과학 > 생물과학 > 생물학,28167,https://image.aladin.co.kr/product/30411/39/cover/k002830264_1.jpg,https://data4library.kr/bookV?seq=6581315
138,138,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,9791168415157,77490,9,472,자연과학 > 생물과학 > 생물학,28137,https://image.aladin.co.kr/product/31364/28/cover/k382832808_1.jpg,https://data4library.kr/bookV?seq=6660412
139,139,(흔한남매) 별난 방탈출 :탈출 미션 스토리북,흔한남매 원작 ;차차 그림,미래엔,2020,9791164137879,77810,2,691,"예술 > 오락, 운동 > 오락",28106,https://image.aladin.co.kr/product/26959/80/cover/k182730410_1.jpg,https://data4library.kr/bookV?seq=5962802
140,140,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,9791164135738,77490,1,472,자연과학 > 생물과학 > 생물학,27996,https://image.aladin.co.kr/product/24605/89/cover/k652631174_1.jpg,https://data4library.kr/bookV?seq=5708913
141,141,여름을 한 입 베어 물었더니 :이꽃님 장편소설 ,글쓴이: 이꽃님,문학동네,2023,9788954694575,03810,,813.7,문학 > 한국문학 > 소설,27841,https://image.aladin.co.kr/product/32294/5/cover/8954694578_1.jpg,https://data4library.kr/bookV?seq=6749899
142,142,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,9791164137435,77490,3,472,자연과학 > 생물과학 > 생물학,27582,https://image.aladin.co.kr/product/26236/31/cover/k012738287_1.jpg,https://data4library.kr/bookV?seq=5855035
143,143,(흔한남매) 별난 방탈출 :탈출 미션 스토리북,흔한남매 원작 ;차차 그림,미래엔,2020,9791168411692,77810,5,691,"예술 > 오락, 운동 > 오락",27537,https://image.aladin.co.kr/product/29445/12/cover/k012837621_1.jpg,https://data4library.kr/bookV?seq=6460293
144,144,영원한 천국 :정유정 장편소설 ,지은이: 정유정,은행나무,2024,9791167374561,03810,,813.7,문학 > 한국문학 > 소설,27531,https://image.aladin.co.kr/product/34499/81/cover200/k712932751_1.jpg,https://data4library.kr/bookV?seq=6934298
145,145,(흔한남매) 별난 방탈출 :탈출 미션 스토리북,흔한남매 원작 ;차차 그림,미래엔,2020,9791164138715,77810,3,691,"예술 > 오락, 운동 > 오락",27513,https://image.aladin.co.kr/product/27760/63/cover/k442734867_1.jpg,https://data4library.kr/bookV?seq=6076995
146,146,놓지 마 과학!,"글·그림: 신태훈,나승훈",위즈덤하우스,2016,9791168122369,67400,17,408,"자연과학 > 자연과학 > 전집, 총서",27490,https://image.aladin.co.kr/product/29305/35/cover/k992837600_1.jpg,https://data4library.kr/bookV?seq=6449054
147,147,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,9791164136438,77490,2,472,자연과학 > 생물과학 > 생물학,27465,https://image.aladin.co.kr/product/25493/95/cover/k372633927_1.jpg,https://data4library.kr/bookV?seq=5793071
