brand,car_name,car_category,fuel_type,price_str,price_num,avg_efficiency
제네시스,Electrified G80,승용,전기(배터리),"8,468만원",8468,4.4㎞/kWh
볼보,XC90,승용,가솔린,"8,820만원",8820,10.25㎞/ℓ
볼보,XC90,승용,하이브리드,"8,820만원",8820,10.25㎞/ℓ
토요타,Crown,승용,하이브리드,"5,963만원",5963,14.1㎞/ℓ
지프,Wrangler,승용,가솔린,"6,370만원",6370,9.75㎞/ℓ
지프,Wrangler,승용,하이브리드,"6,370만원",6370,9.75㎞/ℓ
KGM,렉스턴 뉴 아레나,승용,디젤,"4,056만원",4056,10.9㎞/ℓ
아우디,Q4 e-tron,승용,전기(배터리),"6,630만원",6630,4.45㎞/kWh
렉서스,UX,승용,하이브리드,"5,283만원",5283,16.5㎞/ℓ
렉서스,UX,승용,전기(배터리),"5,283만원",5283,16.5㎞/ℓ
BMW,X4,승용,가솔린,"6,530만원",6530,10.4㎞/ℓ
BMW,X4,승용,디젤,"6,530만원",6530,10.4㎞/ℓ
현대,ST1,화물,전기(배터리),"5,655만원",5655,3.55㎞/kWh
BMW,1 Series,승용,가솔린,"4,084만원",4084,11.15㎞/ℓ
토요타,Sienna,승용,하이브리드,"7,630만원",7630,14.1㎞/ℓ
BMW,2 Series Active Tourer,승용,가솔린,"4,590만원",4590,14㎞/ℓ
BMW,2 Series Active Tourer,승용,디젤,"4,590만원",4590,14㎞/ℓ
볼보,XC40,승용,가솔린,"5,230만원",5230,10.2㎞/ℓ
BMW,iX,승용,전기(배터리),"1억 1,430만원",11430,3.75㎞/kWh
랜드로버,Range Rover Sport,승용,가솔린,"1억 3,800만원",13800,8.75㎞/ℓ
랜드로버,Range Rover Sport,승용,하이브리드,"1억 3,800만원",13800,8.75㎞/ℓ
랜드로버,Range Rover Sport,승용,디젤,"1억 3,800만원",13800,8.75㎞/ℓ
BMW,2 Series Gran Coupe,승용,가솔린,"4,160만원",4160,11.45㎞/ℓ
벤츠,GLS-Class,승용,가솔린,"1억 5,092만원",15092,8.2㎞/ℓ
벤츠,GLS-Class,승용,디젤,"1억 5,092만원",15092,8.2㎞/ℓ
랜드로버,Range Rover,승용,가솔린,"2억 4,970만원",24970,8.45㎞/ℓ
랜드로버,Range Rover,승용,하이브리드,"2억 4,970만원",24970,8.45㎞/ℓ
랜드로버,Range Rover,승용,디젤,"2억 4,970만원",24970,8.45㎞/ℓ
랜드로버,Defender,승용,가솔린,"1억 1,280만원",11280,8.45㎞/ℓ
랜드로버,Defender,승용,디젤,"1억 1,280만원",11280,8.45㎞/ℓ
BMW,i7,승용,전기(배터리),"1억 4,350만원",14350,3.55㎞/kWh
토요타,Prius,승용,하이브리드,"4,413만원",4413,20.15㎞/ℓ
미니,Countryman Electric,승용,전기(배터리),"5,714만원",5714,4.85㎞/kWh
미니,Countryman,승용,가솔린,"4,251만원",4251,10.55㎞/ℓ
아우디,Q6 e-tron,승용,전기(배터리),"9,522만원",9522,4.05㎞/kWh
아우디,A6,승용,가솔린,"7,098만원",7098,11.4㎞/ℓ
아우디,A6,승용,디젤,"7,098만원",7098,11.4㎞/ℓ
미니,Mini Electric,승용,전기(배터리),"4,791만원",4791,5.15㎞/kWh
BMW,iX2,승용,전기(배터리),"6,070만원",6070,5.05㎞/kWh
벤츠,The New AMG GT,승용,가솔린,"1억 3,605만원",13605,7.9㎞/ℓ
벤츠,The New AMG GT,승용,하이브리드,"1억 3,605만원",13605,7.9㎞/ℓ
혼다,CR-V,승용,가솔린,"5,490만원",5490,13.6㎞/ℓ
혼다,CR-V,승용,하이브리드,"5,490만원",5490,13.6㎞/ℓ
포드,Explorer,승용,가솔린,"7,870만원",7870,8.4㎞/ℓ
벤츠,Maybach S-Class,승용,가솔린,"2억 8,847만원",28847,7.2㎞/ℓ
아우디,Q8,승용,가솔린,1억 262만원,10262,8.3㎞/ℓ
아우디,Q8,승용,디젤,1억 262만원,10262,8.3㎞/ℓ
포드,Mustang,승용,가솔린,"5,810만원",5810,8.4㎞/ℓ
폭스바겐,Touareg,승용,디젤,1억 835만원,10835,10.8㎞/ℓ
벤츠,The New Maybach S-Class,승용,가솔린,"3억 1,700만원",31700,7.7㎞/ℓ
아우디,A6 e-tron,승용,전기(배터리),"9,459만원",9459,4.5㎞/kWh
아우디,Q7,승용,가솔린,"9,012만원",9012,8.6㎞/ℓ
아우디,Q7,승용,디젤,"9,012만원",9012,8.6㎞/ℓ
BMW,M3,승용,가솔린,"1억 2,900만원",12900,8.05㎞/ℓ
BMW,Z4,승용,가솔린,"7,010만원",7010,10.45㎞/ℓ
미니,Aceman,승용,전기(배터리),"4,781만원",4781,5.4㎞/kWh
볼보,EX30 CC,승용,전기(배터리),"4,812만원",4812,4.4㎞/kWh
벤츠,EQA,승용,전기(배터리),"6,020만원",6020,5㎞/kWh
아우디,The new Q3,승용,가솔린,"5,310만원",5310,9.6㎞/ℓ
BMW,M5,승용,하이브리드,"1억 6,320만원",16320,12.2㎞/ℓ
현대,아이오닉 5 N,승용,전기(배터리),"7,879만원",7879,3.7㎞/kWh
토요타,GR 86,승용,가솔린,"4,360만원",4360,9.5㎞/ℓ
현대,아이오닉 6 N,승용,전기(배터리),"7,990만원",7990,4.2㎞/kWh
벤츠,EQE SUV,승용,전기(배터리),"9,646만원",9646,4㎞/kWh
아우디,A8,승용,가솔린,1억 602만원,10602,9.5㎞/ℓ
아우디,A8,승용,디젤,1억 602만원,10602,9.5㎞/ℓ
혼다,Accord,승용,가솔린,"5,590만원",5590,14.8㎞/ℓ
혼다,Accord,승용,하이브리드,"5,590만원",5590,14.8㎞/ℓ
벤츠,A-Class,승용,가솔린,"4,383만원",4383,10.8㎞/ℓ
벤츠,CLA-Class,승용,가솔린,"5,999만원",5999,10.6㎞/ℓ
BMW,8 Series,승용,가솔린,"1억 3,210만원",13210,7.65㎞/ℓ
제네시스,GV60 MAGMA,승용,전기(배터리),"9,788만원",9788,3.7㎞/kWh
폭스바겐,Atlas,승용,가솔린,"6,904만원",6904,8.5㎞/ℓ
BMW,M4,승용,가솔린,"1억 3,350만원",13350,8.1㎞/ℓ
BMW,M2,승용,가솔린,"8,740만원",8740,8.5㎞/ℓ
렉서스,LM,승용,하이브리드,"1억 4,800만원",14800,10.1㎞/ℓ
볼보,V60 Cross Country,승용,가솔린,"6,450만원",6450,9.9㎞/ℓ
렉서스,LX,승용,하이브리드,"1억 6,740만원",16740,8㎞/ℓ
BMW,XM,승용,하이브리드,"2억 1,140만원",21140,10㎞/ℓ
아우디,The new e-tron GT,승용,전기(배터리),"1억 7,012만원",17012,3.55㎞/kWh
랜드로버,Discovery,승용,가솔린,"9,950만원",9950,9.15㎞/ℓ
랜드로버,Discovery,승용,디젤,"9,950만원",9950,9.15㎞/ℓ
미니,Convertible,승용,가솔린,"4,646만원",4646,11.9㎞/ℓ
BMW,2 Series,승용,가솔린,"6,790만원",6790,10.4㎞/ℓ
토요타,RAV4,승용,하이브리드,"4,415만원",4415,15.1㎞/ℓ
벤츠,AMG GT,승용,가솔린,"1억 4,924만원",14924,7.75㎞/ℓ
벤츠,Maybach GLS,승용,가솔린,"2억 8,025만원",28025,6.25㎞/ℓ
벤츠,EQB,승용,전기(배터리),"6,888만원",6888,4.1㎞/kWh
렉서스,LS,승용,가솔린,"1억 4,670만원",14670,8.75㎞/ℓ
렉서스,LS,승용,하이브리드,"1억 4,670만원",14670,8.75㎞/ℓ
BMW,X2,승용,가솔린,"6,270만원",6270,10.45㎞/ℓ
지프,Grand Cherokee,승용,가솔린,"8,730만원",8730,9.7㎞/ℓ
지프,Grand Cherokee,승용,하이브리드,"8,730만원",8730,9.7㎞/ℓ
벤츠,All New CLA-Class,승용,가솔린,"5,990만원",5990,16.2㎞/ℓ
벤츠,SL-Class,승용,가솔린,"1억 5,700만원",15700,7.55㎞/ℓ
포드,Bronco,승용,가솔린,"7,420만원",7420,8.3㎞/ℓ
랜드로버,Range Rover Velar,승용,가솔린,"9,530만원",9530,8.65㎞/ℓ
랜드로버,Range Rover Velar,승용,하이브리드,"9,530만원",9530,8.65㎞/ℓ
벤츠,GLA-Class,승용,가솔린,"6,090만원",6090,10.85㎞/ℓ
벤츠,EQE,승용,전기(배터리),"1억 1,000만원",11000,3.95㎞/kWh
토요타,Highlander,승용,가솔린,"7,513만원",7513,13.8㎞/ℓ
벤츠,GLB-Class,승용,가솔린,"6,430만원",6430,11.7㎞/ℓ
벤츠,GLB-Class,승용,디젤,"6,430만원",6430,11.7㎞/ℓ
포드,Expedition,승용,가솔린,"1억 2,500만원",12500,6.8㎞/ℓ
벤츠,Maybach SL,승용,가솔린,"3억 3,712만원",33712,6.5㎞/ℓ
벤츠,Electric G-Class,승용,전기(배터리),"2억 1,610만원",21610,3㎞/kWh
벤츠,EQS SUV,승용,전기(배터리),"1억 4,940만원",14940,3.6㎞/kWh
BMW,M8,승용,가솔린,"2억 5,180만원",25180,7.45㎞/ℓ
BMW,X5 M,승용,가솔린,"1억 6,860만원",16860,6.9㎞/ℓ
랜드로버,Range Rover Evoque,승용,가솔린,"7,720만원",7720,8.9㎞/ℓ
벤츠,Maybach EQS SUV,승용,전기(배터리),"2억 3,500만원",23500,3.45㎞/kWh
BMW,X6 M,승용,가솔린,"1억 7,920만원",17920,7㎞/ℓ
지프,Gladiator,화물,가솔린,"7,310만원",7310,6.4㎞/ℓ
혼다,Odyssey,승용,가솔린,"6,550만원",6550,9㎞/ℓ
랜드로버,Discovery Sport,승용,가솔린,"8,110만원",8110,8.2㎞/ℓ
혼다,New Pilot,승용,가솔린,"8,020만원",8020,8.3㎞/ℓ
벤츠,EQS,승용,전기(배터리),"1억 4,900만원",14900,4.1㎞/kWh
혼다,Pilot,승용,가솔린,"6,810만원",6810,8.35㎞/ℓ
