"car_id";"sido_cd";"sido_nm";"브랜드";"차량명";"차종";"연료형태";"출고가";"km당 연료비";"연비점수";"인프라 점수";"실구매가 점수";"인프라 상황";"지원받은 보조금"
22;"02";"경기";"기아";"EV3";"소형SUV";"전기(배터리)";3995;72.16;90.47;83.74;89.15;"충전기당 전기차 수 : 1.01";"1700"
31;"06";"전북";"기아";"PV5";"중형MPV";"전기(배터리)";4100;78.65;85.35;49.95;89.11;"충전기당 전기차 수 : 1.46";"1800"
66;"03";"강원";"기아";"EV6";"중형SUV";"전기(배터리)";4360;75.27;87.63;72.48;89.09;"충전기당 전기차 수 : 1.22";"2040"
62;"18";"울산";"기아";"EV4";"준중형";"전기(배터리)";4042;67.96;93.06;89.37;89.07;"충전기당 전기차 수 : 0.96";"1700"
62;"02";"경기";"기아";"EV4";"준중형";"전기(배터리)";4042;67.96;93.06;83.74;89.07;"충전기당 전기차 수 : 1.01";"1700"
146;"05";"충남";"기아";"봉고 3 EV";"소형트럭";"전기(배터리)";4345;120.69;71.64;44.32;89.03;"충전기당 전기차 수 : 1.48";"2000"
113;"05";"충남";"현대";"포터2 일렉트릭";"소형트럭";"전기(배터리)";4350;120.69;71.64;44.32;89.01;"충전기당 전기차 수 : 1.48";"2000"
119;"06";"전북";"현대";"코나 일렉트릭";"소형SUV";"전기(배터리)";4152;68.63;92.41;49.95;88.99;"충전기당 전기차 수 : 1.46";"1800"
134;"08";"경북";"폭스바겐";"ID.5";"중형SUV";"전기(배터리)";4452;68.63;92.41;33.06;88.99;"충전기당 전기차 수 : 1.58";"2100"
140;"08";"경북";"폭스바겐";"ID.4";"중형SUV";"전기(배터리)";4452;72.92;89.8;33.06;88.99;"충전기당 전기차 수 : 1.58";"2100"
134;"09";"경남";"폭스바겐";"ID.5";"중형SUV";"전기(배터리)";4452;68.63;92.41;27.43;88.99;"충전기당 전기차 수 : 1.64";"2100"
140;"09";"경남";"폭스바겐";"ID.4";"중형SUV";"전기(배터리)";4452;72.92;89.8;27.43;88.99;"충전기당 전기차 수 : 1.64";"2100"
16;"06";"전북";"기아";"EV5";"중형SUV";"전기(배터리)";4155;75.27;87.63;49.95;88.89;"충전기당 전기차 수 : 1.46";"1800"
141;"08";"경북";"KGM";"토레스 EVX";"중형SUV";"전기(배터리)";4470;72.92;89.8;33.06;88.87;"충전기당 전기차 수 : 1.58";"2100"
141;"09";"경남";"KGM";"토레스 EVX";"중형SUV";"전기(배터리)";4470;72.92;89.8;27.43;88.87;"충전기당 전기차 수 : 1.64";"2100"
49;"11";"제주";"현대";"코나";"소형SUV";"가솔린";2393;121.85;70.51;100.0;88.83;"해당사항 없음";"해당사항 없음"
50;"11";"제주";"현대";"코나";"소형SUV";"하이브리드";2393;121.85;70.51;100.0;88.83;"해당사항 없음";"해당사항 없음"
49;"17";"대전";"현대";"코나";"소형SUV";"가솔린";2393;118.49;72.31;100.0;88.83;"해당사항 없음";"해당사항 없음"
50;"17";"대전";"현대";"코나";"소형SUV";"하이브리드";2393;118.49;72.31;100.0;88.83;"해당사항 없음";"해당사항 없음"
49;"06";"전북";"현대";"코나";"소형SUV";"가솔린";2393;119.98;71.97;100.0;88.83;"해당사항 없음";"해당사항 없음"
50;"06";"전북";"현대";"코나";"소형SUV";"하이브리드";2393;119.98;71.97;100.0;88.83;"해당사항 없음";"해당사항 없음"
49;"05";"충남";"현대";"코나";"소형SUV";"가솔린";2393;120.29;71.85;100.0;88.83;"해당사항 없음";"해당사항 없음"
50;"05";"충남";"현대";"코나";"소형SUV";"하이브리드";2393;120.29;71.85;100.0;88.83;"해당사항 없음";"해당사항 없음"
49;"04";"충북";"현대";"코나";"소형SUV";"가솔린";2393;120.36;71.81;100.0;88.83;"해당사항 없음";"해당사항 없음"
50;"04";"충북";"현대";"코나";"소형SUV";"하이브리드";2393;120.36;71.81;100.0;88.83;"해당사항 없음";"해당사항 없음"
49;"08";"경북";"현대";"코나";"소형SUV";"가솔린";2393;119.53;72.15;100.0;88.83;"해당사항 없음";"해당사항 없음"
50;"08";"경북";"현대";"코나";"소형SUV";"하이브리드";2393;119.53;72.15;100.0;88.83;"해당사항 없음";"해당사항 없음"
49;"09";"경남";"현대";"코나";"소형SUV";"가솔린";2393;119.54;72.11;100.0;88.83;"해당사항 없음";"해당사항 없음"
50;"09";"경남";"현대";"코나";"소형SUV";"하이브리드";2393;119.54;72.11;100.0;88.83;"해당사항 없음";"해당사항 없음"
49;"20";"전남광주";"현대";"코나";"소형SUV";"가솔린";2393;120.15;71.89;100.0;88.83;"해당사항 없음";"해당사항 없음"
50;"20";"전남광주";"현대";"코나";"소형SUV";"하이브리드";2393;120.15;71.89;100.0;88.83;"해당사항 없음";"해당사항 없음"
49;"15";"인천";"현대";"코나";"소형SUV";"가솔린";2393;119.08;72.19;100.0;88.83;"해당사항 없음";"해당사항 없음"
50;"15";"인천";"현대";"코나";"소형SUV";"하이브리드";2393;119.08;72.19;100.0;88.83;"해당사항 없음";"해당사항 없음"
49;"19";"세종";"현대";"코나";"소형SUV";"가솔린";2393;119.7;72.03;100.0;88.83;"해당사항 없음";"해당사항 없음"
